                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.14,                 4.1204,                 1.5116,                0.16596,                 0.4739,                0.25106,                0.17424,                0.91684,                 3.2603,                  1.387,             0.00012664,             0.00012664,             0.00012664
                      2,                0.97702,                 2.7414,                 1.3657,                0.40523,                0.48024,                0.41962,                0.30678,                0.87808,                 2.4747,                 1.3174,             0.00024656,             0.00024656,             0.00024656
                      3,                0.93178,                 2.3255,                 1.2997,                0.52578,                0.56813,                0.56209,                0.41295,                 0.9057,                 1.8003,                 1.3583,             0.00035801,             0.00035801,             0.00035801
                      4,                0.95122,                 2.1122,                 1.2984,                0.58499,                 0.6153,                0.62673,                0.46949,                0.92583,                 1.7683,                  1.327,             0.00034689,             0.00034689,             0.00034689
                      5,                0.91344,                 1.9271,                 1.2848,                0.62028,                0.66701,                0.72705,                0.55974,                0.85726,                 1.3381,                 1.2938,             0.00033418,             0.00033418,             0.00033418
                      6,                0.90872,                 1.7617,                 1.2705,                 0.6275,                0.66157,                0.73256,                0.56754,                0.82994,                 1.3076,                 1.2222,             0.00032147,             0.00032147,             0.00032147
                      7,                0.89454,                 1.6403,                 1.2303,                0.62418,                0.75199,                0.77145,                0.59457,                0.87843,                 1.2562,                 1.2552,             0.00030877,             0.00030877,             0.00030877
                      8,                0.88443,                 1.5615,                 1.2404,                0.66707,                0.72995,                0.76745,                0.60503,                0.82606,                 1.1837,                 1.1827,             0.00029606,             0.00029606,             0.00029606
                      9,                0.85146,                   1.47,                 1.2099,                0.79913,                0.78757,                0.88659,                0.71588,                 0.7757,                0.94729,                 1.1609,             0.00028336,             0.00028336,             0.00028336
                     10,                0.85023,                 1.3907,                 1.2147,                0.70472,                 0.7795,                0.87435,                0.69529,                0.78491,                 1.0377,                  1.164,             0.00027065,             0.00027065,             0.00027065
                     11,                0.80981,                 1.3475,                 1.1817,                0.73215,                0.83922,                0.85534,                 0.6905,                0.75135,                 1.0243,                 1.1347,             0.00025795,             0.00025795,             0.00025795
                     12,                0.81509,                 1.2547,                 1.1857,                0.86859,                0.82578,                0.91275,                 0.7308,                0.79131,                0.81304,                 1.1551,             0.00024525,             0.00024525,             0.00024525
                     13,                0.80293,                 1.1854,                 1.1718,                 0.8569,                0.90786,                0.95284,                0.77661,                0.72775,                0.70882,                 1.1074,             0.00023254,             0.00023254,             0.00023254
                     14,                0.79808,                 1.1306,                  1.169,                0.86187,                0.90959,                0.95327,                0.78297,                0.72049,                 0.7064,                  1.101,             0.00021983,             0.00021983,             0.00021983
